Date,Price,Open,High,Low,Vol.,Change %
12/01/2024,"42,544.22","44,925.86","45,073.63","42,146.33",10.26B,-5.27%
11/01/2024,"44,910.65","41,869.82","45,071.29","41,647.30",10.17B,7.54%
10/01/2024,"41,763.46","42,262.97","43,325.09","41,704.63",7.21B,-1.34%
09/01/2024,"42,330.15","41,489.67","42,628.32","39,993.07",8.32B,1.85%
08/01/2024,"41,563.08","40,916.96","41,585.21","38,499.27",8.40B,1.76%
07/01/2024,"40,842.79","39,186.20","41,376.00","39,037.94",7.63B,4.41%
06/01/2024,"39,118.86","38,709.99","39,571.23","38,247.22",7.35B,1.12%
05/01/2024,"38,686.32","37,845.56","40,077.40","37,780.54",7.62B,2.30%
04/01/2024,"37,815.92","39,807.93","39,815.00","37,611.56",7.85B,-5.00%
03/01/2024,"39,807.37","38,989.51","39,889.05","38,457.83",7.40B,2.08%
02/01/2024,"38,996.39","38,175.34","39,282.28","38,039.86",6.33B,2.22%
01/01/2024,"38,150.30","37,566.22","38,588.86","37,122.95",7.19B,1.22%
12/01/2023,"37,689.54","35,914.45","37,778.85","35,914.45",6.37B,4.84%
11/01/2023,"35,950.89","33,081.87","35,970.70","33,010.85",6.33B,8.77%
10/01/2023,"33,052.87","33,455.50","34,147.63","32,327.20",6.72B,-1.36%
09/01/2023,"33,507.50","34,876.24","34,979.18","33,306.30",6.25B,-3.50%
08/01/2023,"34,721.91","35,585.99","35,679.13","34,029.22",7.16B,-2.36%
07/01/2023,"35,559.53","34,369.78","35,645.35","33,705.68",6.44B,3.35%
06/01/2023,"34,407.60","32,929.85","34,588.68","32,704.51",7.04B,4.56%
05/01/2023,"32,908.27","34,116.81","34,257.83","32,586.56",6.70B,-3.49%
04/01/2023,"34,098.16","33,245.78","34,104.56","33,235.85",5.38B,2.48%
03/01/2023,"33,274.15","32,656.37","33,572.22","31,429.82",8.15B,1.89%
02/01/2023,"32,656.70","34,039.60","34,334.70","32,636.43",6.14B,-4.19%
01/01/2023,"34,086.04","33,148.90","34,342.32","32,812.33",6.82B,2.83%
12/01/2022,"33,147.25","34,533.59","34,712.28","32,573.43",6.98B,-4.17%
11/01/2022,"34,589.77","32,862.79","34,589.77","31,727.05",7.30B,5.67%
10/01/2022,"32,732.95","28,855.25","32,889.81","28,660.94",7.82B,13.95%
09/01/2022,"28,725.51","31,454.58","32,504.04","28,715.85",7.84B,-8.84%
08/01/2022,"31,510.43","32,755.71","34,281.36","31,509.59",7.02B,-4.06%
07/01/2022,"32,845.13","30,737.77","32,910.18","30,143.93",6.44B,6.73%
06/01/2022,"30,775.43","33,156.31","33,272.34","29,653.29",7.71B,-6.71%
05/01/2022,"32,990.12","32,978.49","34,117.74","30,635.76",8.98B,0.04%
04/01/2022,"32,977.21","34,740.89","35,492.22","32,913.15",7.22B,-4.91%
03/01/2022,"34,678.35","33,813.48","35,372.26","32,578.73",9.22B,2.32%
02/01/2022,"33,892.60","35,151.47","35,824.28","32,272.64",7.36B,-3.53%
01/01/2022,"35,131.86","36,321.59","36,952.65","33,150.33",8.90B,-3.32%
12/01/2021,"36,338.30","34,678.94","36,679.44","34,006.98",8.41B,5.38%
11/01/2021,"34,483.72","35,833.65","36,565.73","34,424.44",7.23B,-3.73%
10/01/2021,"35,819.56","33,930.70","35,892.92","33,785.54",6.77B,5.84%
09/01/2021,"33,843.92","35,387.55","35,475.40","33,613.03",6.66B,-4.29%
08/01/2021,"35,360.73","34,968.56","35,631.19","34,690.25",5.66B,1.22%
07/01/2021,"34,935.47","34,507.32","35,171.52","33,741.76",6.71B,1.25%
06/01/2021,"34,502.51","34,584.19","34,849.32","33,271.93",6.83B,-0.08%
05/01/2021,"34,529.45","33,904.89","35,091.56","33,473.80",6.61B,1.93%
04/01/2021,"33,874.85","33,054.58","34,256.75","32,985.35",6.89B,2.71%
03/01/2021,"32,981.55","31,065.90","33,259.00","30,547.53",9.79B,6.62%
02/01/2021,"30,932.37","30,054.73","32,009.64","30,014.97",6.77B,3.17%
01/01/2021,"29,982.62","30,627.47","31,272.22","29,856.30",8.22B,-2.04%
12/01/2020,"30,606.48","29,797.50","30,637.47","29,599.29",8.18B,3.27%
11/01/2020,"29,638.64","26,691.28","30,116.51","26,691.28",7.92B,11.84%
10/01/2020,"26,501.60","27,940.63","28,957.90","26,143.77",8.51B,-4.61%
09/01/2020,"27,781.70","28,439.61","29,199.35","26,537.01",10.05B,-2.28%
08/01/2020,"28,430.05","26,542.32","28,733.35","26,534.38",7.51B,7.57%
07/01/2020,"26,428.32","25,879.38","27,071.33","25,523.51",8.27B,2.38%
06/01/2020,"25,812.88","25,342.99","27,580.21","24,843.18",9.82B,1.69%
05/01/2020,"25,383.11","24,120.78","25,758.79","22,789.62",8.01B,4.26%
04/01/2020,"24,345.72","21,227.38","24,764.77","20,735.02",9.88B,11.08%
03/01/2020,"21,917.16","25,590.51","27,102.34","18,213.65",15.60B,-13.74%
02/01/2020,"25,409.36","28,319.65","29,568.57","24,681.01",7.05B,-10.07%
01/01/2020,"28,256.03","28,638.97","29,373.62","28,169.53",6.27B,-0.99%
12/01/2019,"28,538.44","28,109.74","28,701.66","27,325.13",5.14B,1.74%
11/01/2019,"28,051.41","27,142.95","28,174.97","27,142.95",4.98B,3.72%
10/01/2019,"27,046.23","26,962.54","27,204.36","25,743.46",5.72B,0.48%
09/01/2019,"26,916.83","26,198.26","27,306.73","25,978.22",5.09B,1.95%
08/01/2019,"26,403.28","26,879.86","27,175.59","25,339.60",6.24B,-1.72%
07/01/2019,"26,864.27","26,805.86","27,398.68","26,616.21",5.27B,0.99%
06/01/2019,"26,599.96","24,830.16","26,907.37","24,680.57",5.54B,7.19%
05/01/2019,"24,815.04","26,639.06","26,689.39","24,809.51",6.36B,-6.69%
04/01/2019,"26,592.91","26,075.10","26,695.96","26,062.59",5.85B,2.56%
03/01/2019,"25,928.68","26,019.67","26,155.98","25,208.00",6.63B,0.05%
02/01/2019,"25,916.00","25,025.31","26,241.42","24,883.04",5.43B,3.67%
01/01/2019,"24,999.67","23,058.61","25,109.62","22,638.41",7.19B,7.17%
12/01/2018,"23,327.46","25,779.57","25,980.21","21,712.53",8.10B,-8.66%
11/01/2018,"25,538.46","25,142.08","26,277.82","24,268.74",7.23B,1.68%
10/01/2018,"25,115.76","26,598.36","26,951.81","24,122.23",8.37B,-5.07%
09/01/2018,"26,458.31","25,916.07","26,769.16","25,754.32",5.26B,1.90%
08/01/2018,"25,964.82","25,461.63","26,167.94","24,965.77",5.64B,2.16%
07/01/2018,"25,415.19","24,161.53","25,587.24","24,077.56",5.41B,4.71%
06/01/2018,"24,271.41","24,542.09","25,402.83","23,997.21",7.41B,-0.59%
05/01/2018,"24,415.84","24,117.29","25,086.49","23,531.31",7.28B,1.05%
04/01/2018,"24,163.15","24,076.60","24,858.97","23,344.52",8.06B,0.25%
03/01/2018,"24,103.11","25,024.04","25,449.15","23,509.06",8.87B,-3.70%
02/01/2018,"25,029.20","26,083.04","26,306.70","23,360.29",9.45B,-4.28%
01/01/2018,"26,149.39","24,809.35","26,616.71","24,741.70",9.12B,5.79%
12/01/2017,"24,719.22","24,305.40","24,876.07","23,921.90",6.59B,1.84%
11/01/2017,"24,272.35","23,442.90","24,327.82","23,242.75",7.34B,3.83%
