filename,adjective,frequency
FOMCminutes20001219.txt,average,7
FOMCminutes20001219.txt,october,7
FOMCminutes20001219.txt,financial,7
FOMCminutes20001219.txt,anecdotal,7
FOMCminutes20001219.txt,little,6
FOMCminutes20001219.txt,good,6
FOMCminutes20001219.txt,higher,5
FOMCminutes20001219.txt,level,5
FOMCminutes20001219.txt,industrial,5
FOMCminutes20001219.txt,many,5
FOMCminutes20001219.txt,lower,4
FOMCminutes20001219.txt,robust,4
FOMCminutes20001219.txt,retail,4
FOMCminutes20010131.txt,economic,29
FOMCminutes20010131.txt,fourth,13
FOMCminutes20010131.txt,recent,11
FOMCminutes20010131.txt,federal,10
FOMCminutes20010131.txt,current,10
FOMCminutes20010131.txt,last,9
FOMCminutes20010131.txt,average,8
FOMCminutes20010131.txt,high,8
FOMCminutes20010131.txt,large,7
FOMCminutes20010131.txt,monetary,7
FOMCminutes20010131.txt,domestic,7
FOMCminutes20010131.txt,final,6
FOMCminutes20010131.txt,sizable,6
FOMCminutes20010131.txt,new,6
FOMCminutes20010131.txt,november,6
FOMCminutes20010131.txt,good,6
FOMCminutes20010131.txt,little,6
FOMCminutes20010131.txt,related,5
FOMCminutes20010131.txt,latest,5
FOMCminutes20010131.txt,foreign,5
FOMCminutes20010320.txt,january,22
FOMCminutes20010320.txt,economic,21
FOMCminutes20010320.txt,federal,9
FOMCminutes20010320.txt,financial,9
FOMCminutes20010320.txt,fourth,8
FOMCminutes20010320.txt,recent,8
FOMCminutes20010320.txt,february,7
FOMCminutes20010320.txt,large,7
FOMCminutes20010320.txt,overall,6
FOMCminutes20010320.txt,little,6
FOMCminutes20010320.txt,last,6
FOMCminutes20010320.txt,good,6
FOMCminutes20010320.txt,lower,6
FOMCminutes20010320.txt,high,6
FOMCminutes20010320.txt,current,6
FOMCminutes20010320.txt,robust,5
FOMCminutes20010320.txt,foreign,5
FOMCminutes20010320.txt,weaker,5
FOMCminutes20010320.txt,adjustment,5
FOMCminutes20010320.txt,monetary,5
FOMCminutes20010515.txt,economic,28
FOMCminutes20010515.txt,federal,11
FOMCminutes20010515.txt,recent,9
FOMCminutes20010515.txt,many,9
FOMCminutes20010515.txt,substantial,8
FOMCminutes20010515.txt,little,8
FOMCminutes20010515.txt,foreign,8
FOMCminutes20010515.txt,new,7
FOMCminutes20010515.txt,monetary,7
FOMCminutes20010515.txt,strong,6
FOMCminutes20010515.txt,first,6
FOMCminutes20010515.txt,good,6
FOMCminutes20010515.txt,sluggish,5
FOMCminutes20010515.txt,april,5
FOMCminutes20010515.txt,industrial,5
FOMCminutes20010515.txt,february,5
FOMCminutes20010515.txt,high,5
FOMCminutes20010515.txt,future,5
FOMCminutes20010515.txt,aggregate,5
FOMCminutes20010515.txt,anticipated,5
FOMCminutes20010627.txt,economic,31
FOMCminutes20010627.txt,recent,9
FOMCminutes20010627.txt,federal,9
FOMCminutes20010627.txt,monetary,9
FOMCminutes20010627.txt,lower,7
FOMCminutes20010627.txt,many,7
FOMCminutes20010627.txt,foreign,7
FOMCminutes20010627.txt,likely,7
FOMCminutes20010627.txt,little,6
FOMCminutes20010627.txt,high,6
FOMCminutes20010627.txt,least,6
FOMCminutes20010627.txt,second,5
FOMCminutes20010627.txt,first,5
FOMCminutes20010627.txt,industrial,5
FOMCminutes20010627.txt,april,5
