title,year,n_chars,n_words,n_sentences,avg_word_length,avg_sentence_length_words,avg_sentence_length_chars,vocab_size,type_token_ratio,hapax_legomena,hapax_ratio
2000-02-02,2000,22032.0,3674.0,114.0,5.074305933587371,32.228070175438596,193.26315789473685,990.0,0.2694610778443114,554.0,0.150789330430049
2000-03-21,2000,19490.0,3223.0,106.0,5.130623642569035,30.40566037735849,183.8679245283019,860.0,0.2668321439652498,445.0,0.13807012100527458
2000-05-16,2000,21395.0,3545.0,114.0,5.10916784203103,31.096491228070175,187.67543859649123,973.0,0.27447108603667136,529.0,0.14922425952045135
2000-06-28,2000,23560.0,3923.0,115.0,5.079276064236554,34.11304347826087,204.8695652173913,989.0,0.2521029824114198,518.0,0.13204180474126945
2000-08-22,2000,24705.0,4050.0,125.0,5.181481481481481,32.4,197.64,992.0,0.24493827160493828,507.0,0.12518518518518518
2000-10-03,2000,20806.0,3419.0,103.0,5.166130447499269,33.19417475728155,202.0,888.0,0.259725065808716,463.0,0.13541971336648143
2000-11-15,2000,25473.0,4237.0,130.0,5.0944064196365355,32.59230769230769,195.94615384615383,1001.0,0.23625206514042954,537.0,0.1267406183620486
2000-12-19,2000,25742.0,4265.0,127.0,5.1167643610785465,33.58267716535433,202.69291338582678,1007.0,0.23610785463071512,512.0,0.12004689331770223
2001-01-31,2001,26870.0,4397.0,133.0,5.190584489424608,33.06015037593985,202.0300751879699,1083.0,0.2463042983852627,564.0,0.12826927450534456
2001-03-20,2001,24310.0,4020.0,126.0,5.135820895522388,31.904761904761905,192.93650793650792,1024.0,0.25472636815920396,548.0,0.136318407960199
2001-05-15,2001,26748.0,4480.0,130.0,5.049330357142857,34.46153846153846,205.75384615384615,1085.0,0.2421875,540.0,0.12053571428571429
2001-06-27,2001,26128.0,4346.0,128.0,5.089737689829729,33.953125,204.125,1059.0,0.2436723423838012,553.0,0.12724344224574322
2001-08-21,2001,23287.0,3835.0,127.0,5.157235984354628,30.19685039370079,183.36220472440945,1006.0,0.2623207301173403,551.0,0.14367666232073012
2001-10-02,2001,25251.0,4125.0,132.0,5.197333333333333,31.25,191.29545454545453,1056.0,0.256,568.0,0.1376969696969697
2001-11-06,2001,24283.0,3950.0,122.0,5.22379746835443,32.377049180327866,199.04098360655738,1031.0,0.2610126582278481,535.0,0.13544303797468354
2001-12-11,2001,25539.0,4192.0,125.0,5.171040076335878,33.536,204.312,1083.0,0.2583492366412214,577.0,0.13764312977099236
2002-01-30,2002,24497.0,4032.0,129.0,5.154017857142857,31.25581395348837,189.89922480620154,1019.0,0.2527281746031746,533.0,0.13219246031746032
2002-03-19,2002,23890.0,3896.0,126.0,5.20687885010267,30.92063492063492,189.6031746031746,1032.0,0.2648870636550308,551.0,0.1414271047227926
2002-05-07,2002,21587.0,3564.0,118.0,5.136083052749719,30.203389830508474,182.9406779661017,979.0,0.27469135802469136,543.0,0.15235690235690236
2002-06-26,2002,23500.0,3918.0,124.0,5.079632465543645,31.596774193548388,189.51612903225808,1042.0,0.2659520163348647,583.0,0.14880040837161818
